idSchedule,startdate,duration,time,schdchange,onoff,weather
1,2025-01-04,4,10:41:00,4,0,0
11,2025-01-25,30,09:15:00,0,1,0
12,2025-01-25,30,10:00:00,0,1,0
31,2025-01-29,4,16:20:00,0,1,0
32,2025-01-29,4,16:01:00,0,1,0
33,2025-01-29,4,16:10:00,0,1,0
34,2025-01-21,4,09:58:00,0,1,0
35,2025-01-21,4,09:01:00,0,1,0
36,2025-01-21,4,09:59:00,0,1,0
37,2025-01-21,4,09:00:00,0,1,0
38,2025-01-21,4,09:59:00,0,1,0
53,2025-01-03,63,17:18:00,0,1,0
101,2025-02-14,6,07:35:00,0,1,0
105,2025-02-15,4,11:21:00,4,1,0
108,2025-02-15,4,11:59:00,0,1,0
109,2025-02-02,60,17:00:00,0,1,0
110,2025-01-28,4,10:14:00,0,NULL,NULL
111,2025-01-24,4,11:32:00,0,NULL,NULL
112,2025-01-29,4,14:04:00,0,NULL,NULL
113,2025-02-14,4,13:49:00,1,NULL,NULL
114,2025-01-24,4,16:48:00,0,1,0
115,2025-02-03,4,14:59:00,0,1,0
116,2025-01-07,4,17:23:00,0,1,0
117,2025-01-07,4,17:25:00,0,NULL,NULL
118,2025-01-07,4,17:35:00,0,1,0
119,2025-01-07,4,17:40:00,0,NULL,NULL
120,2025-01-07,4,17:48:00,0,NULL,NULL
121,2025-01-08,4,10:08:00,0,NULL,NULL
122,2025-01-08,4,10:10:00,0,NULL,NULL
123,2025-01-08,4,10:29:00,0,NULL,NULL
124,2025-01-08,4,10:34:00,0,NULL,NULL
125,2025-01-08,4,10:45:00,0,NULL,NULL
126,2025-01-08,4,10:50:00,0,NULL,NULL
127,2025-01-08,4,10:59:00,0,NULL,NULL
128,2025-01-08,4,11:08:00,0,NULL,NULL
129,2025-01-08,4,11:48:00,0,NULL,NULL
130,2025-01-08,4,11:27:00,0,NULL,NULL
534,2025-02-12,4,10:46:00,1,NULL,NULL
612,2025-02-15,4,11:37:00,0,1,0
633,2025-02-12,4,10:57:00,0,1,0
647,2025-01-08,4,18:10:00,0,1,0
654,2025-01-15,4,17:16:00,0,1,0
655,2025-01-03,64,16:08:00,0,1,0
656,2025-02-01,20,09:21:00,0,1,0
844,2025-02-12,4,12:30:00,0,1,0
845,2025-02-07,4,14:42:00,0,1,0
872,2025-02-03,4,06:30:00,0,0,0
873,2025-02-03,4,06:45:00,0,0,0
874,2025-02-03,4,07:00:00,0,0,0
875,2025-02-03,4,07:15:00,0,0,0
876,2025-02-03,4,07:30:00,0,0,0
877,2025-02-03,4,07:45:00,0,0,0
878,2025-01-04,4,17:54:00,0,0,0
879,2025-01-04,4,17:56:00,0,0,0
880,2025-02-11,4,14:46:00,0,0,0
881,2025-02-11,4,14:48:00,0,0,0
882,2025-02-15,4,11:35:00,0,1,0
883,2025-02-15,4,11:34:00,0,1,0
884,2025-02-15,4,11:36:00,0,1,0
885,2025-02-15,4,11:37:00,0,1,0
1,2025-01-04,4,10:41:00,4,0,0
11,2025-01-25,30,09:15:00,0,1,0
12,2025-01-25,30,10:00:00,0,1,0
31,2025-01-29,4,16:20:00,0,1,0
32,2025-01-29,4,16:01:00,0,1,0
33,2025-01-29,4,16:10:00,0,1,0
34,2025-01-21,4,09:58:00,0,1,0
35,2025-01-21,4,09:01:00,0,1,0
36,2025-01-21,4,09:59:00,0,1,0
37,2025-01-21,4,09:00:00,0,1,0
38,2025-01-21,4,09:59:00,0,1,0
53,2025-01-03,63,17:18:00,0,1,0
101,2025-02-14,6,07:35:00,0,1,0
105,2025-02-15,4,11:21:00,4,1,0
108,2025-02-15,4,11:59:00,0,1,0
109,2025-02-02,60,17:00:00,0,1,0
110,2025-01-28,4,10:14:00,0,0,0
111,2025-01-24,4,11:32:00,0,0,0
112,2025-01-29,4,14:04:00,0,0,0
113,2025-02-14,4,13:49:00,1,0,0
